img_file,csv_file,time_diff_sec,timestamp
File_name_2022-09-09T13_42_21.698185.jpg,File_name_2022-09-09T13_42_22.323924.csv,46.895404,2022-09-09 13:42:21.698185
File_name_2022-09-09T13_57_28.118460.jpg,File_name_2022-09-09T13_57_28.734803.csv,36.577394,2022-09-09 13:57:28.118460
File_name_2022-09-09T14_02_11.912597.jpg,File_name_2022-09-09T14_02_12.498379.csv,35.506096,2022-09-09 14:02:11.912597
File_name_2022-09-09T14_06_06.154768.jpg,File_name_2022-09-09T14_06_06.752937.csv,32.700735,2022-09-09 14:06:06.154768
File_name_2022-09-09T14_15_05.378030.jpg,File_name_2022-09-09T14_15_05.957496.csv,26.298696,2022-09-09 14:15:05.378030
File_name_2022-09-12T08_48_35.215462.jpg,File_name_2022-09-12T08_51_42.461515.csv,220.305726,2022-09-12 08:48:35.215462
File_name_2022-09-12T08_56_24.608623.jpg,File_name_2022-09-12T08_56_25.188628.csv,28.371279,2022-09-12 08:56:24.608623
File_name_2022-09-12T08_58_49.608028.jpg,File_name_2022-09-12T08_58_50.170371.csv,29.65675,2022-09-12 08:58:49.608028
File_name_2022-09-12T09_01_08.354120.jpg,File_name_2022-09-12T09_01_08.946933.csv,29.54738,2022-09-12 09:01:08.354120
File_name_2022-09-12T09_07_01.374915.jpg,File_name_2022-09-12T09_07_01.956081.csv,26.091484,2022-09-12 09:07:01.374915
File_name_2022-09-12T09_09_06.767793.jpg,File_name_2022-09-12T09_09_07.367746.csv,27.257661,2022-09-12 09:09:06.767793
File_name_2022-09-12T09_11_05.081835.jpg,File_name_2022-09-12T09_11_05.673758.csv,28.637832,2022-09-12 09:11:05.081835
File_name_2022-09-12T09_13_13.903865.jpg,File_name_2022-09-12T09_13_14.477807.csv,33.658736,2022-09-12 09:13:13.903865
File_name_2022-09-12T09_15_22.776469.jpg,File_name_2022-09-12T09_15_23.363035.csv,28.747035,2022-09-12 09:15:22.776469
File_name_2022-09-12T09_19_27.119246.jpg,File_name_2022-09-12T09_19_27.713992.csv,28.484633,2022-09-12 09:19:27.119246
File_name_2022-09-12T09_21_26.862444.jpg,File_name_2022-09-12T09_21_27.462389.csv,29.210756,2022-09-12 09:21:26.862444
File_name_2022-09-12T09_23_33.156362.jpg,File_name_2022-09-12T09_23_33.746720.csv,28.847666,2022-09-12 09:23:33.156362
File_name_2022-09-12T09_25_39.907591.jpg,File_name_2022-09-12T09_25_40.480786.csv,29.022303,2022-09-12 09:25:39.907591
File_name_2022-09-12T09_27_47.208839.jpg,File_name_2022-09-12T09_27_47.808772.csv,27.738406,2022-09-12 09:27:47.208839
